input,target
798120-140966,657154
17612-75403,-57791
693-445,248
2-9,-7
743-688,55
16740-11113,5627
3-4,-1
1-6,-5
113-946,-833
95830-84601,11229
40-82,-42
31-64,-33
3-7,-4
4672-65003,-60331
3-8,-5
6812-96088,-89276
286521-860289,-573768
60201-28685,31516
22-45,-23
40284-394086,-353802
0-7,-7
90-66,24
92-59,33
812-967,-155
327231-176697,150534
290-426,-136
53781-34909,18872
1-6,-5
921-963,-42
560184-268629,291555
95881-22948,72933
51-62,-11
6884-5489,1395
3920-108653,-104733
9052-2508,6544
42-74,-32
924-798,126
191-5398,-5207
796291-748413,47878
3673-5427,-1754
44-37,7
3-7,-4
53630-76692,-23062
769704-71026,698678
3553-738,2815
30-14,16
74-65,9
264-987,-723
181-23,158
281-584,-303
885173-15837,869336
71-97,-26
541-53,488
1-2,-1
1224-4105,-2881
28911-16516,12395
4-6,-2
0-7,-7
61-52,9
151-284,-133
0-3,-3
505850-55582,450268
99604-13818,85786
92-18,74
908000-856954,51046
37434-3037,34397
91-8723,-8632
280510-991606,-711096
7564-3298,4266
2922-8123,-5201
4-79,-75
902-488,414
74-65,9
343-248,95
308330-137558,170772
0-7,-7
93862-80707,13155
780-717,63
1-74,-73
441273-129559,311714
384540-553108,-168568
5183-1865,3318
97030-60295,36735
472-496,-24
0-71,-71
414-366,48
2433-9238,-6805
42-53,-11
814-315,499
681-464,217
890-123,767
655732-579245,76487
631711-560556,71155
8403-6934,1469
805682-620977,184705
436011-180679,255332
3-89,-86
651764-85168,566596
291-203,88
1064-448,616
23-16,7
199480-753299,-553819
24-99,-75
803-797,6
60-625,-565
283-994,-711
506711-447282,59429
94-38,56
69782-931584,-861802
103-359,-256
9640-9784,-144
0-2,-2
64302-58253,6049
6741-7759,-1018
50-974,-924
0-3,-3
977242-69978,907264
91-55,36
893-566,327
90-31,59
72-56,16
3960-1823,2137
29410-40337,-10927
22-876,-854
491-409,82
587301-728704,-141403
3-6,-3
702-474,228
24944-25969,-1025
50-672,-622
100731-609053,-508322
0-1,-1
47591-83597,-36006
0-3,-3
666904-101709,565195
2-4,-2
9972-1799,8173
921-809,112
344-14557,-14213
903930-654966,248964
284-999,-715
263470-315424,-51954
30682-58845,-28163
2-6,-4
910-156,754
35661-82162,-46501
2322-3017,-695
1-8,-7
240-22,218
15040-25288,-10248
7071-94489,-87418
72943-667,72276
7741-455,7286
6921-37787,-30866
851-602,249
792-296,496
610-6405,-5795
2-15,-13
50601-1859,48742
304670-357887,-53217
92-715,-623
1104-42747,-41643
480-119,361
75683-77038,-1355
2311-1923,388
94591-77095,17496
71-35,36
0-5,-5
181-547,-366
482-603,-121
4-6,-2
974-516,458
28952-63087,-34135
64-9,55
2-5,-3
5003-3897,1106
64-39,25
46690-90346,-43656
43392-35047,8345
981-192,789
272-776,-504
810-671,139
33-45,-12
0-29,-29
963450-151699,811751
6922-1295,5627
254-918,-664
7903-9815,-1912
28840-6564,22276
834-427,407
2220-3616,-1396
788893-55339,733554
9984-3925,6059
2-4,-2
550154-871975,-321821
8002-6425,1577
378113-133206,244907
2001-5818,-3817
98964-47839,51125
225471-412745,-187274
18870-97503,-78633
444001-760473,-316472
847580-311204,536376
7191-93556,-86365
60670-668729,-608059
232670-99014,133656
264-279,-15
64-78,-14
7612-2057,5555
6843-1977,4866
2-5,-3
128351-680857,-552506
241863-251937,-10074
31784-17709,14075
1-3,-2
244-375,-131
0-1,-1
5192-5229,-37
7034-1358,5676
693-639,54
7382-9678,-2296
623-194,429
800-811,-11
3-4,-1
2710-3652,-942
661-752,-91
389554-362109,27445
8963-3455,5508
7151-3749,3402
1-4,-3
234-428,-194
467060-978856,-511796
41763-36234,5529
44-55,-11
2484-8608,-6124
559124-221956,337168
1611-6243,-4632
51-86,-35
6490-2698,3792
47574-23925,23649
7351-4632,2719
12-39,-27
4-8,-4
9923-3397,6526
643642-91524,552118
7102-6748,354
1-6,-5
1-3,-2
63-77,-14
3-9,-6
223-6075,-5852
751-715,36
78111-42826,35285
74374-50338,24036
4823-3745,1078
4024-70389,-66365
2481-8425,-5944
3-5,-2
2-78,-76
642132-304736,337396
8352-8488,-136
1-5,-4
35634-725645,-690011
6220-4052,2168
4503-4549,-46
50-69,-19
9961-2138,7823
936031-792123,143908
65793-60636,5157
50-61,-11
829701-835635,-5934
161-323,-162
645321-718939,-73618
911051-870776,40275
861-12,849
12-16,-4
560-1244,-684
59054-91975,-32921
602-897,-295
573144-471685,101459
770-181,589
33-48,-15
40-26,14
739033-952175,-213142
81662-3689,77973
242-193,49
92-99,-7
164752-578223,-413471
1-69,-68
7091-54856,-47765
861751-175194,686557
61-47,14
2-95,-93
534-436,98
4-6,-2
94-59,35
541401-166117,375284
5584-5226,358
4-9,-5
564222-105676,458546
62861-67782,-4921
83-85,-2
462-23,439
13-55,-42
182933-272628,-89695
139664-106856,32808
652354-262029,390325
64-75,-11
466412-854089,-387677
52-87,-35
24-25,-1
60302-13553,46749
32524-92688,-60164
11-54,-43
338953-227348,111605
83-88,-5
271414-378709,-107295
2290-6212,-3922
553-1967,-1414
723-55,668
126893-562494,-435601
533811-799466,-265655
64-48,16
110-7682,-7572
91-53,38
822-275,547
901764-844728,57036
62543-97706,-35163
2-4,-2
7624-5358,2266
3982-176,3806
26650-2223,24427
4-7,-3
84-75,9
54050-46907,7143
8831-9235,-404
940-958,-18
154-927,-773
135833-466286,-330453
94-29,65
1223-63878,-62655
4324-7657,-3333
814483-5964,808519
1062-5014,-3952
3-9,-6
244-155,89
227003-214617,12386
1-9,-8
0-5,-5
114-189,-75
9281-6235,3046
859854-366595,493259
196884-673955,-477071
287304-629397,-342093
72-87,-15
63-77,-14
56834-39219,17615
9872-4947,4925
0-3,-3
2-8,-6
9704-1199,8505
3-8,-5
689450-181463,507987
461-9957,-9496
133-229,-96
960-606,354
1-3,-2
201-477,-276
2710-9683,-6973
8433-9397,-964
27880-36239,-8359
670144-368489,301655
419461-501805,-82344
95213-503314,-408101
2-5,-3
564404-93567,470837
50-19,31
5382-72364,-66982
3143-3439,-296
55571-72213,-16642
6830-4,6826
4-7,-3
3-8,-5
62-67,-5
9211-2929,6282
85822-666137,-580315
3231-3908,-677
608463-434184,174279
34914-685979,-651065
10-45,-35
78774-41929,36845
160-861,-701
91-93,-2
493-416,77
2633-55754,-53121
1-5,-4
853-24146,-23293
5360-36627,-31267
5144-8736,-3592
833864-579809,254055
57640-59449,-1809
155843-282715,-126872
0-9,-9
21-63,-42
321980-678934,-356954
750500-103944,646556
840142-630369,209773
49680-36056,13624
4-6,-2
1-2,-1
49540-37581,11959
32340-60515,-28175
68740-453284,-384544
7434-3908,3526
1-9,-8
945350-301767,643583
4-9,-5
1540-2465,-925
887211-870068,17143
3590-6601,-3011
5901-3457,2444
34-67,-33
1-2,-1
1194-5727,-4533
3683-6676,-2993
379934-504005,-124071
8251-2142,6109
716424-394257,322167
66850-25094,41756
10501-8359,2142
4-5,-1
550701-331165,219536
44581-678583,-634002
41223-30019,11204
3101-9927,-6826
42-25,17
3-8,-5
4-6,-2
602-478,124
4-18,-14
681-695,-14
4-7,-3
81-42,39
5980-3223,2757
50-54,-4
64571-76177,-11606
4-5,-1
30-31,-1
9051-7873,1178
8364-6287,2077
423-796,-373
248292-183864,64428
61-95,-34
9244-4365,4879
875714-841496,34218
53-36,17
1-6,-5
1100-68484,-67384
54-85,-31
1762-3138,-1376
1-7,-6
4742-2999,1743
8611-292,8319
23-9814,-9791
93-99,-6
44-68,-24
444004-85449,358555
81-37,44
3984-6417,-2433
91-707,-616
34-65,-31
1551-28839,-27288
963-868,95
89592-90965,-1373
22-64,-42
20531-6679,13852
42-76,-34
3-4,-1
82-85,-3
872-183,689
13490-74444,-60954
882380-682514,199866
62-53,9
0-8,-8
4-58,-54
870-588,282
11-28,-17
24-78,-54
44-87,-43
40183-35257,4926
10-73,-63
5153-9634,-4481
934812-811378,123434
46790-30498,16292
14-48,-34
1-6,-5
3-5,-2
471-676,-205
3-19,-16
871-226,645
953162-471607,481555
12521-45319,-32798
7634-2868,4766
92-25,67
361682-27103,334579
1-9,-8
20-43,-23
6451-8063,-1612
270-536,-266
2814-61109,-58295
22354-49755,-27401
1-2,-1
30701-57679,-26978
529084-804508,-275424
10-668,-658
23253-68848,-45595
92-65,27
878683-944749,-66066
60-28,32
54-97,-43
861294-343739,517555
18812-4823,13989
450-998,-548
82-98,-16
287443-379754,-92311
81114-51249,29865
315262-673935,-358673
20-82,-62
911-433,478
1-5,-4
782-76,706
481-949,-468
70-76,-6
797591-727854,69737
144-59,85
0-8,-8
11-49,-38
177774-579925,-402151
10392-32266,-21874
4112-7755,-3643
4-5,-1
76871-60434,16437
50-82,-32
323920-176771,147149
72-66,6
340-598,-258
8113-5504,2609
0-8,-8
1-3,-2
892-638,254
5053-8475,-3422
400-536,-136
651-16,635
3-8,-5
94-26,68
41700-50451,-8751
914252-341103,573149
55751-92486,-36735
3570-4431,-861
6873-46966,-40093
90-81,9
53-759,-706
354-519,-165
458884-663698,-204814
207392-106973,100419
3862-8817,-4955
74-697,-623
455094-456869,-1775
13-69,-56
30372-14969,15403
2794-9149,-6355
794-287,507
6661-7528,-867
20-49,-29
4753-766,3987
80-52,28
1-6,-5
781-149,632
4-8,-4
801830-307749,494081
15653-41598,-25945
4274-2988,1286
37680-27425,10255
1363-7914,-6551
272-218,54
4-8,-4
3-5,-2
5922-2248,3674
43-978,-935
9260-8155,1105
63953-3165,60788
3713-8638,-4925
99302-5888,93414
481230-614315,-133085
52991-13759,39232
2064-9608,-7544
84-68,16
55901-25186,30715
892-489,403
89923-18884,71039
911-529,382
476852-994383,-517531
0-8,-8
59301-71835,-12534
6374-6798,-424
42-45,-3
450-986,-536
8470-1774,6696
70-83,-13
73-207,-134
23-934,-911
34893-40755,-5862
660-551,109
792-458,334
80502-425014,-344512
92-59,33
48134-98876,-50742
14491-77824,-63333
2532-5326,-2794
754-679,75
573-439,134
20-92,-72
213-127,86
2-3,-1
15573-12627,2946
37682-49497,-11815
470-424,46
11-28,-17
90-45,45
688031-866968,-178937
91960-55103,36857
2-8,-6
235741-824543,-588802
63-36,27
832-179,653
336264-964439,-628175
81-852,-771
17354-37169,-19815
2-3,-1
1-9,-8
85291-53699,31592
50-515,-465
3574-3777,-203
380964-645968,-265004
74-99,-25
62832-750454,-687622
4-8,-4
70-2,68
2470-3017,-547
44-65,-21
18710-903747,-885037
62-59,3
0-3,-3
490571-701413,-210842
2-5,-3
74-17,57
812-643,169
619973-979845,-359872
611542-489969,121573
604-719,-115
690-166,524
51692-74789,-23097
53-48,5
284-677,-393
8490-1288,7202
3153-9839,-6686
587424-147808,439616
711-943,-232
4922-1423,3499
3803-95,3708
148823-675125,-526302
275592-326268,-50676
948854-662135,286719
11-8,3
211042-712224,-501182
934-46,888
25443-49715,-24272
680-694,-14
0-3,-3
0-3,-3
344-557,-213
1461-2696,-1235
671-774,-103
248011-369319,-121308
982760-37746,945014
223492-564604,-341112
605741-567455,38286
673-406,267
52-4,48
81-69,12
108722-489409,-380687
204-929,-725
814401-144093,670308
55811-26705,29106
7764-154239,-146475
4-6,-2
71-573,-502
90-71,19
73003-12705,60298
867450-592556,274894
211371-800595,-589224
312-5219,-4907
1-9,-8
21350-92149,-70799
13-78,-65
451-454,-3
173-676,-503
582894-156559,426335
4-8,-4
32-55,-23
73-69,4
86170-43525,42645
4-7,-3
283901-199903,83998
83-17,66
31963-65275,-33312
373-897,-524
148553-323135,-174582
5194-18587,-13393
4643-77868,-73225
73-16,57
31-82,-51
0-4,-4
6070-9371,-3301
720112-75739,644373
23-24,-1
2781-1854,927
6943-33376,-26433
280-512,-232
97192-848004,-750812
683-539,144
1-2,-1
48673-75819,-27146
911821-763846,147975
61-46,15
0-8,-8
334-688,-354
492-157,335
2-5,-3
903882-897526,6356
3123-8689,-5566
2-4,-2
226110-10746,215364
11871-19409,-7538
31021-63866,-32845
3463-4377,-914
130-277,-147
87804-95745,-7941
2-3,-1
278680-791698,-513018
1-3,-2
1004-2317,-1313
24-57,-33
4-49,-45
91-9,82
93-4,89
0-4,-4
21-23,-2
3-8,-5
4-9,-5
22-95,-73
60-53,7
741704-804466,-62762
5622-9549,-3927
9470-1295,8175
53-45,8
44-35,9
83-9,74
3-4,-1
71-5,66
931302-593544,337758
81-15,66
64742-4393,60349
97490-24602,72888
658401-237224,421177
1-5,-4
6220-6356,-136
372-303,69
153-739,-586
2-5,-3
51-17,34
1-6,-5
7080-3111,3969
855432-756087,99345
950583-640124,310459
1532-2485,-953
41-44,-3
589440-986674,-397234
0-5,-5
230-128,102
80912-376,80536
83-49,34
894512-112416,782096
0-5,-5
4-8,-4
7262-9934,-2672
53-95,-42
212-304,-92
2971-5032,-2061
174-1045,-871
7313-8438,-1125
81-36,45
6383-1387,4996
822091-970507,-148416
464-317,147
3-8,-5
4-8,-4
392-214,178
52424-32427,19997
67282-15236,52046
4-8,-4
6541-7847,-1306
25804-5275,20529
8221-6497,1724
0-6,-6
21132-34885,-13753
46854-17409,29445
333-179,154
0-7,-7
41-32,9
9402-2208,7194
1-8,-7
9833-9819,14
70-3,67
2603-2504,99
70-83,-13
27880-69867,-41987
454-318,136
20032-92786,-72754
8993-7679,1314
3191-2983,208
863-104,759
0-5,-5
483-148,335
70243-78678,-8435
24893-11658,13235
220-59,161
2882-5227,-2345
43881-64798,-20917
2-3,-1
1533-652086,-650553
32571-74703,-42132
4-5,-1
7052-27,7025
1-4,-3
856150-896342,-40192
7253-4115,3138
430133-179244,250889
81890-82989,-1099
670-248,422
50320-286608,-236288
770-683,87
790-788,2
93742-843806,-750064
105134-4627,100507
449740-269537,180203
0-4,-4
41892-54138,-12246
11-208,-197
222-484,-262
50890-48148,2742
7351-7573,-222
1-9,-8
996651-50537,946114
2994-4748,-1754
3-5,-2
22-436,-414
27792-98976,-71184
602-226,376
1-8,-7
21-5318,-5297
1-7,-6
5842-8685,-2843
568764-516805,51959
8612-5444,3168
712-16,696
559252-741194,-181942
0-4,-4
937624-868179,69445
7653-6799,854
74-37,37
58311-37118,21193
11792-90839,-79047
37224-31467,5757
212-237,-25
360-197,163
1-8,-7
1-2,-1
8841-944,7897
92120-31071,61049
50-81,-31
7663-3716,3947
1-7,-6
276581-41768,234813
4680-4184,496
168503-410368,-241865
13-88,-75
36064-469275,-433211
0-4,-4
22-94,-72
350272-977357,-627085
624-106,518
2-4,-2
2-8,-6
860-106,754
3-8,-5
3-6,-3
80-406,-326
67770-47273,20497
6991-67593,-60602
70-12,58
64182-44653,19529
164-157,7
430-838,-408
82-28,54
6484-4068,2416
987084-491999,495085
5191-44145,-38954
1101-5419,-4318
22-63,-41
41360-71155,-29795
31163-67948,-36785
567390-149308,418082
671-193,478
143-177,-34
10-24,-14
5371-9718,-4347
97290-97084,206
2882-6028,-3146
31-68,-37
56582-56066,516
1053-465,588
0-6,-6
496521-632184,-135663
8240-5861,2379
632-984,-352
1430-8102,-6672
88572-346704,-258132
43-15,28
61091-68708,-7617
484-626,-142
71-819,-748
0-9,-9
4-6,-2
1-603,-602
63-764,-701
52362-92969,-40607
42-96,-54
70293-246755,-176462
2-15,-13
24784-73447,-48663
52-65,-13
9702-9603,99
2482-5358,-2876
604080-739614,-135534
52850-88735,-35885
4-9,-5
48293-429489,-381196
3782-2766,1016
624203-60608,563595
1-8,-7
3-77,-74
3874-1768,2106
0-7,-7
81-57,24
873-936,-63
1-3,-2
79414-70157,9257
14-39,-25
6022-508,5514
947342-781004,166338
1-7,-6
572463-985725,-413262
104-87,17
86133-97844,-11711
604-648,-44
87884-52629,35255
8121-9839,-1718
53-79,-26
3-9,-6
534613-18666,515947
89282-88349,933
4-8,-4
5030-41273,-36243
2-3,-1
55752-87889,-32137
3014-8788,-5774
551-186,365
314-158,156
461-466,-5
3-7,-4
362-198308,-197946
2-7,-5
0-9,-9
4-7,-3
90-724,-634
57234-29278,27956
14-66,-52
380-904,-524
3-7,-4
901-359,542
0-3,-3
243-428,-185
380-602,-222
63-95,-32
5782-8136,-2354
484740-86225,398515
9172-6674,2498
922-467,455
5530-7362,-1832
154-118,36
8494-6039,2455
178661-288447,-109786
2043-8077,-6034
91-89,2
3-9,-6
4-6,-2
72982-49925,23057
43081-47339,-4258
2-6,-4
691-943,-252
45452-99858,-54406
3-6,-3
110-972,-862
2-3,-1
3093-2888,205
234-7438,-7204
920-991,-71
421-772,-351
71-49,22
4-8,-4
744353-999009,-254656
713-116,597
45572-63938,-18366
17400-31494,-14094
947791-814952,132839
2-5,-3
4363-9649,-5286
5220-92996,-87776
8244-7958,286
53814-81468,-27654
0-7,-7
294754-204635,90119
73-95,-22
55653-71515,-15862
79261-21666,57595
6844-368008,-361164
7410-8896,-1486
4873-3768,1105
573270-586143,-12873
413-747,-334
2613-2816,-203
150-166,-16
87812-25859,61953
931810-57479,874331
4-7,-3
49400-30966,18434
70-23,47
524-756,-232
4-6,-2
32-89,-57
61-772,-711
74643-78629,-3986
231513-262409,-30896
1834-3145,-1311
9861-1937,7924
1500-68704,-67204
13782-84349,-70567
0-8,-8
320-186,134
196803-456345,-259542
973020-896682,76338
0-7,-7
671930-325892,346038
5493-7339,-1846
44-589,-545
5140-8023,-2883
2-8,-6
22-4,18
1-5,-4
129131-188756,-59625
633-5896,-5263
0-6,-6
34-89,-55
2-3,-1
807431-772996,34435
688712-89748,598964
160-513,-353
134712-741894,-607182
872-408,464
1-7,-6
1-2,-1
384654-6725,377929
47741-23888,23853
253-279,-26
1-7,-6
46702-15283,31419
2-4,-2
7382-4236,3146
9431-6918,2513
72-6,66
5201-4448,753
770-81,689
55410-33168,22242
82631-71019,11612
9390-3809,5581
0-1,-1
6654-597,6057
6962-794687,-787725
63-49,14
583-8514,-7931
71-43,28
1373-5229,-3856
23-65,-42
2-4,-2
4914-5497,-583
1-2,-1
6963-6879,84
29910-49074,-19164
482-826,-344
152001-840393,-688392
3-4,-1
34-25,9
482331-692405,-210074
956983-222878,734105
9430-1499,7931
134-469,-335
94-328,-234
691644-965918,-274274
548522-58206,490316
762-7968,-7206
842-658,184
2-6,-4
0-78,-78
723950-962402,-238452
748151-372773,375378
381-815,-434
94-55,39
1-7,-6
90-71,19
252510-201293,51217
1-7,-6
14563-95979,-81416
2-5,-3
93-98,-5
3234-1247,1987
121-6144,-6023
3734-2195,1539
2-8,-6
166380-280364,-113984
2-8,-6
4-6,-2
2641-6219,-3578
3-5,-2
48284-13879,34405
462-639,-177
7210-5625,1585
80-753,-673
534-366,168
480744-144815,335929
50344-13938,36406
910540-644451,266089
562-978,-416
11973-905705,-893732
2-6,-4
1-87,-86
30-74,-44
2-5,-3
13-68,-55
269824-417085,-147261
83-146,-63
174-837,-663
27630-78025,-50395
41-76,-35
31853-96366,-64513
692-489,203
50-98,-48
13452-44486,-31034
41490-74752,-33262
1-6,-5
4-5,-1
21-83,-62
8774-1975,6799
422550-786984,-364434
934-396,538
871383-642306,229077
63-505,-442
410914-350367,60547
5084-6527,-1443
29101-1545,27556
63913-465705,-401792
542-894,-352
2-3,-1
8673-4756,3917
663802-456164,207638
56701-62514,-5813
0-6,-6
9083-8114,969
530-8003,-7473
1-3,-2
95723-54004,41719
800-314,486
349501-484999,-135498
500-469,31
996482-518899,477583
182-687,-505
923-654,269
0-3,-3
372631-13565,359066
53-29,24
373-447,-74
904-1296,-392
0-8,-8
73-26,47
3-8,-5
722-519,203
972592-278238,694354
263702-117215,146487
3-6,-3
2-4,-2
181583-892684,-711101
11-23,-12
43-57,-14
90401-41948,48453
970954-882769,88185
980304-972158,8146
43444-776736,-733292
634-627,7
931-335,596
44-26,18
1751-1937,-186
566174-362899,203275
324-246,78
873-884,-11
613-108,505
6384-7789,-1405
671-594,77
770-5463,-4693
3-7,-4
414652-621097,-206445
2240-9233,-6993
893-585,308
4411-602,3809
280-956,-676
1112-5044,-3932
5054-2729,2325
7983-3254,4729
704-6656,-5952
95652-35347,60305
201-397,-196
84-98,-14
2820-5111,-2291
893-4,889
2-6,-4
4-7,-3
71-95,-24
42-67,-25
62-98,-36
73-29,44
900-732,168
621-799,-178
5580-77818,-72238
197450-592249,-394799
161020-853074,-692054
541-633,-92
580-476,104
0-6,-6
53040-952038,-898998
1-3,-2
891-48,843
1-8,-7
13-49,-36
454-858,-404
0-1,-1
82-34,48
4722-8445,-3723
90-494,-404
0-1,-1
81-163,-82
594-85,509
9684-6725,2959
64-86,-22
563-194,369
46963-240314,-193351
423-14,409
9734-9319,415
7841-3608,4233
844-3027,-2183
45702-68246,-22544
63-34,29
96533-33445,63088
40051-34027,6024
2271-434,1837
58402-53854,4548
100422-683046,-582624
393-7184,-6791
364-659,-295
182073-576286,-394213
29061-67625,-38564
762-817,-55
42151-54376,-12225
2193-9707,-7514
52580-91169,-38589
53-74,-21
599930-155004,444926
73-18,55
710-465,245
23-9,14
2-8,-6
61542-58819,2723
20563-15557,5006
772-7433,-6661
6391-8142,-1751
74452-95798,-21346
94233-24985,69248
8693-6679,2014
5080-6479,-1399
8372-6925,1447
63-94,-31
41-63,-22
319323-957014,-637691
523023-488444,34579
513-955,-442
391040-118905,272135
82-75,7
0-3,-3
1410-6206,-4796
12-4,8
88903-70255,18648
639680-4083,635597
70-22,48
0-5,-5
14632-70806,-56174
1484-4696,-3212
31-52,-21
90-3,87
594470-6491,587979
30-11,19
1-7,-6
42532-69716,-27184
63-19,44
4-9,-5
4272-7677,-3405
627054-154218,472836
1743-6308,-4565
8312-5007,3305
305501-668376,-362875
6190-309,5881
1-8,-7
9244-59977,-50733
411-189,222
8883-1218,7665
6113-1985,4128
29442-48243,-18801
548074-318846,229228
44-35,9
4-5,-1
533520-528853,4667
62-23,39
4341-4073,268
2-4,-2
71441-6186,65255
0-9,-9
981-637,344
3-6,-3
573-378,195
94-6,88
9071-9775,-704
20-81,-61
1681-9734,-8053
3-6,-3
264-655,-391
10-21,-11
224-376,-152
532421-19936,512485
3341-5625,-2284
210-558,-348
658212-893587,-235375
4122-8226,-4104
2-6,-4
891-715,176
42424-7187,35237
82672-13749,68923
941-633,308
351680-194345,157335
2684-3448,-764
59983-10536,49447
864-877,-13
250-82,168
24044-86427,-62383
30344-25116,5228
942-888,54
2172-7057,-4885
1-3,-2
40-78,-38
2-7,-5
330984-658398,-327414
7104-7686,-582
73-66,7
0-9,-9
10252-38958,-28706
452-433,19
94-78,16
214-447,-233
2-19,-17
22-55,-33
3831-8319,-4488
816611-155185,661426
445030-653014,-207984
292-487,-195
4544-5056,-512
48680-39124,9556
32-97,-65
68271-46582,21689
28173-77215,-49042
153-316,-163
376090-523806,-147716
104-315,-211
46653-79929,-33276
922-299,623
4-8,-4
476892-301089,175803
81981-79385,2596
12-65,-53
2631-3513,-882
47912-322933,-275021
2193-2918,-725
838001-600869,237132
390980-712496,-321516
184762-472665,-287903
1-7,-6
42-954,-912
293-297,-4
91331-58469,32862
6463-5328,1135
45110-48921,-3811
597843-47057,550786
220-434,-214
165024-801446,-636422
358790-422757,-63967
3600-8103,-4503
1270-5346,-4076
4071-7574,-3503
33-67,-34
22-54,-32
273512-533858,-260346
1612-7907,-6295
6522-68508,-61986
55743-686927,-631184
50-75,-25
72-16,56
65640-67994,-2354
454472-121705,332767
806890-682429,124461
2392-2827,-435
4-5,-1
54764-95166,-40402
92-94,-2
71-54,17
30-58,-28
153-765,-612
354-88,266
45904-14746,31158
42-55,-13
7881-2598,5283
792-389,403
62120-97123,-35003
232-657,-425
911-359,552
34-69,-35
73122-98979,-25857
3-9,-6
8861-8417,444
1-4,-3
464-196,268
23-89,-66
9663-1148,8515
44834-4366,40468
627910-835554,-207644
60262-91223,-30961
620-59,561
42664-21166,21498
0-8,-8
642750-471503,171247
4-6,-2
4-6,-2
901-8215,-7314
41222-982876,-941654
50-71,-21
2-4,-2
20290-87875,-67585
6370-4164,2206
2-4,-2
7593-3998,3595
42533-42507,26
3111-7724,-4613
395124-623778,-228654
3-4,-1
751-659,92
584-31128,-30544
940274-76707,863567
93-19,74
0-8,-8
324180-905423,-581243
51-47,4
93-35,58
3333-6945,-3612
9723-23994,-14271
6491-8662,-2171
114-2678,-2564
264-96,168
224-4906,-4682
0-5,-5
699641-994335,-294694
0-9,-9
51-94,-43
570-506,64
13314-12448,866
50404-11218,39186
724-678,46
61264-32589,28675
993-357,636
0-5,-5
15651-89574,-73923
1194-8378,-7184
483-554,-71
122-588,-466
472390-956889,-484499
470-443,27
4632-9585,-4953
41982-77234,-35252
44-76,-32
12-497,-485
5184-8725,-3541
4101-4343,-242
321983-218788,103195
8174-48018,-39844
59693-94818,-35125
84450-46844,37606
115860-856883,-741023
14344-58649,-44305
23-19,4
532513-948517,-416004
304151-671989,-367838
6901-8926,-2025
0-43,-43
37874-47128,-9254
237741-325085,-87344
83-59,24
82-45,37
1-5,-4
7753-1219,6534
844584-463028,381556
46181-6806,39375
0-1,-1
226200-959025,-732825
761840-472402,289438
6682-1406,5276
4-8,-4
86290-82198,4092
324-256,68
2-9,-7
94600-88068,6532
405181-437454,-32273
8012-28,7984
10-32,-22
7174-638,6536
6681-77196,-70515
1-9,-8
941-45489,-44548
5954-8949,-2995
176080-342857,-166777
83-38,45
3-9,-6
6220-5494,726
44281-32043,12238
84-848,-764
566692-797689,-230997
3894-6856,-2962
443864-146427,297437
0-2,-2
665263-221429,443834
6800-6097,703
713-176,537
373-87,286
77720-38341,39379
41572-95828,-54256
281-448,-167
4224-5017,-793
61-88,-27
96330-557,95773
492651-438204,54447
504-529,-25
3-5,-2
5151-3946,1205
1080-7275,-6195
244-609,-365
59824-29409,30415
90-42,48
1-9,-8
62-73,-11
3381-5432,-2051
90-73,17
43-16,27
793-64,729
8581-4756,3825
1711-8014,-6303
732174-554278,177896
443-747,-304
684701-977666,-292965
171-47,124
993-315,678
904-617,287
2-5,-3
5514-449,5065
541-916752,-916211
439893-337597,102296
62714-51979,10735
1-2,-1
4932-4055,877
2594-8468,-5874
64593-38935,25658
21330-89504,-68174
80293-5247,75046
91-9,82
0-9,-9
813-359,454
377094-18647,358447
34623-35078,-455
2-8,-6
211-523,-312
54-75,-21
42820-195665,-152845
351-517,-166
82523-56106,26417
0-3,-3
227541-606762,-379221
12-17,-5
40210-97379,-57169
33-654,-621
0-7,-7
2-7,-5
502-374,128
64974-10358,54616
7410-25707,-18297
9863-6296,3567
754880-360393,394487
64-58,6
893162-377459,515703
640320-189424,450896
62-27,35
73623-4949,68674
903-99,804
3922-8563,-4641
61283-44369,16914
1-8,-7
43-94,-51
307253-384917,-77664
942-835,107
38991-51093,-12102
1-4,-3
81-12,69
7980-1707,6273
53-15,38
71-23,48
0-6,-6
760460-302967,457493
7690-4096,3594
4-107,-103
30-14,16
85113-5845,79268
924-49,875
771-877,-106
481834-911937,-430103
255950-737714,-481764
1963-625,1338
817470-119715,697755
72-78,-6
3-6,-3
464-279,185
31-3,28
762523-36194,726329
24-28,-4
44912-94104,-49192
751-755,-4
2-4,-2
0-1,-1
303-139,164
30592-52958,-22366
91-35,56
312471-905623,-593152
3011-2354,657
0-7,-7
4364-9145,-4781
954-429,525
374-905,-531
4-8,-4
52-97,-45
254104-632949,-378845
7803-6194,1609
9331-36304,-26973
7000-5103,1897
1-5,-4
7662-9248,-1586
2301-4677,-2376
19211-94913,-75702
13-17,-4
4-7,-3
664-856,-192
50973-47254,3719
51591-25276,26315
307910-265927,41983
212141-16806,195335
1-6,-5
272-669,-397
0-5,-5
76450-11499,64951
473-499,-26
0-6,-6
84080-5964,78116
615210-408103,207107
11-43,-32
581-619,-38
81-86,-5
6234-6707,-473
767424-483725,283699
13-94,-81
773-475,298
781-647,134
62662-81214,-18552
7722-5259,2463
759330-249756,509574
512340-56611,455729
283092-370105,-87013
242-984,-742
3624-80325,-76701
